ID,PlateNumber,VINNumber,Make,Model,Year,Trim,BodyStyle,Engine,Birthplace,Nickname
589372943478554624,DJECT,5YFBURHE5FP232321,Toyota,Corolla L / LE / LE Plus / LE Premium / S / S Plus / S Premium,2015,-,Sedan 4D,1.8L I4 EFI,United States,Corolla L / LE / LE Plus / LE Premium / S / S Plus / S Premium
589372943478554624,D6A2CFA,KMHGN4JE6JU216782,Hyundai,Genesis G80,2018,-,Sedan 4D,3.8L V6 DI,South Korea,Genesis G80
589372943478554624,SUBAUWU,JF1VA1C69K9819408,Subaru,WRX Premium,2019,Premium,Sedan 4D,2.0L H4 DI,Japan,WRX Premium
589372943478554624,LAZUELO,WDDGF5EB7BR166363,Mercedes-Benz,C Class C300,2011,-,Luxury Sedan / Sedan 4D,3.0L V6 FI / SFI,Germany,C Class C300
589372943478554624,SLYFOX3,1HGCM665X3A030419,Honda,Accord EX,2003,-,Sedan 4D,3.0L V6 EFI,United States,Accord EX
589372943478554624,4S307,5NPDH4AE6EH515249,Hyundai,Elantra Limited / SE,2014,-,Sedan 4D,1.8L I4 MPI,United States,Elantra Limited / SE
589372943478554624,CDN0793,3FAHP0JG0CR335005,Ford,Fusion SEL,2012,-,Sedan 4D,3.0L V6 SMPI,Mexico,Fusion SEL
589372943478554624,CPE3563,5J6TF3H5XCL000727,Honda,Crosstour EX-L,2012,-,SUV 4D,2.4L I4 MPI,United States,Crosstour EX-L
589372943478554624,CGF0019,1FMCU031X8KA50163,Ford,Escape XLT,2008,-,SUV 4D,3.0L V6 SFI,United States,Escape XLT
589372943478554624,KWA8BVA,4T1BE30K63U160650,Toyota,Camry LE / SE / XLE,2003,-,Sedan 4D,2.4L I4 EFI,United States,Camry LE / SE / XLE
589372943478554624,AZC7123,4T1BF1FK6EU782676,Toyota,Camry L / LE / SE / SE Sport / XLE,2014,-,Sedan 4D,2.5L I4 SFI,United States,Camry L / LE / SE / SE Sport / XLE
589372943478554624,CHS6959,JN1BY1AP2JM180310,Infiniti,Q70 3.7 Luxe,2018,-,Sedan 4D,3.7L V6 SFI,Japan,Q70 3.7 Luxe
589372943478554624,BPV7810,4S2CK58Y144308490,Isuzu,Rodeo S,2004,-,SUV 4D,3.5L V6 DI,United States,Rodeo S
589372943478554624,CPZ9056,1N6AD0CU1KN768337,Nissan,Frontier Desert Runner / SV,2019,-,King Cab 2D,4.0L V6 MPI,United States,Frontier Desert Runner / SV
589372943478554624,TJA1GB,1D7HA18N74S633116,Dodge,Ram 1500 Laramie / SLT / ST,2004,-,Quad Cab 4D,4.7L V8 MPI,United States,Ram 1500 Laramie / SLT / ST
589372943478554624,6EA2WE,1G2ZG58B874226638,Pontiac,G6,2007,-,Sedan 4D,2.4L I4 MPI,United States,G6 
589372943478554624,9JA7A0A,1G1ZD5ST6JF131909,Chevrolet,Malibu LT,2018,-,Sedan 4D,1.5L I4 DI,United States,Malibu LT
589372943478554624,GBA21C,3GTP2VE7XCG110758,GMC,Sierra 1500 SLE,2012,-,Crew Cab 4D,5.3L V8 SFI,Mexico,Sierra 1500 SLE
589372943478554624,57AB49,JN8AF5MR0CT113379,Nissan,Juke S / SL / SV,2012,-,Hatchback 4D,1.6L I4 DI,Japan,Juke S / SL / SV
589372943478554624,2LA9CCA,5FPYK1F52BB455062,Honda,Ridgeline RTL,2011,-,Crew Cab 4D,3.5L V6 MPI,United States,Ridgeline RTL
589372943478554624,R3A25D,3N1AB7AP4KY282447,Nissan,Sentra S / SL / SR / SV,2019,S,Sedan 4D,1.8L I4 SMPI,Mexico,Sentra S / SL / SR / SV
589372943478554624,CGK9384,2GNAXJEV0J6188867,Chevrolet,Equinox LT,2018,-,SUV 4D,1.5L I4 DI,Canada,Equinox LT
589372943478554624,9PA3FD,5NPEU46F86H104907,Hyundai,Sonata GLS / LX,2006,-,Sedan 4D,3.3L V6 MPI,United States,Sonata GLS / LX
589372943478554624,BPD7840,1N4AL2AP9BN474754,Nissan,Altima Base / S / SL,2011,-,Sedan 4D,2.5L I4 SMPI,United States,Altima Base / S / SL
589372943478554624,CPW8519,1C4SDHCT6KC651040,Dodge,Durango R/T,2019,R/T,SUV 4D,5.7L V8 MPI,United States,Durango R/T
589372943478554624,CLZ8020,1G1ZB5STXGF344585,Chevrolet,Malibu LS,2016,-,Sedan 4D,1.5L I4 DI,United States,Malibu LS
589372943478554624,BAR1722,1C6RR7GT8JS282536,Ram,1500 SLT,2018,SLT,Quad Cab 4D,5.7L V8 SMPI,United States,1500 SLT
589372943478554624,F0A6BC,4UZAARCP67CX33639,Freightliner,MT55 Chassis,2007,-,Truck Delivery,4.3L L4 Diesel,United States,MT55 Chassis 
589372943478554624,4RA7XE,1G4HR54K8YU254718,Buick,LeSabre Limited,2000,-,Sedan 4D,3.8L V6 MPI,United States,LeSabre Limited
589372943478554624,F106FAN,1C3CDFBB3FD306666,Dodge,Dart SXT,2015,-,Sedan 4D,2.4L I4 SFI,United States,Dart SXT
589372943478554624,CFJ6511,3GCPCSEC0HG326618,Chevrolet,Silverado 1500 LTZ,2017,-,Crew Cab / LWB / SWB 4D,5.3L V8 DI,Mexico,Silverado 1500 LTZ
589372943478554624,HSA2TF,4S4BRBCC9E3232825,Subaru,Outback Premium,2014,-,Wagon 4D,2.5L H4 MPI,United States,Outback Premium
589372943478554624,CSV9701,3GTU2NEC5JG266994,GMC,Sierra 1500 SLT,2018,-,Crew Cab / LWB / SWB 4D,5.3L V8 DI,Mexico,Sierra 1500 SLT
589372943478554624,CCF3987,4S4BSENC1K3343092,Subaru,Outback 3.6R Limited,2019,3.6R Limited,Wagon 4D,3.6L H6 SMPI,United States,Outback 3.6R Limited
589372943478554624,CGR2205,JTDZN3EU0HJ063532,Toyota,Prius V Five / Four / Three / Two,2017,-,Hatchback 4D,1.8L I4 EFI,Japan,Prius V Five / Four / Three / Two
589372943478554624,CPC4839,5XYPK4A55GG187072,Kia,Sorento Limited / SX,2016,-,SUV 4D,3.3L V6 DI,United States,Sorento Limited / SX
589372943478554624,ECA85D,3FA6P0HD2JR146002,Ford,Fusion SE,2018,-,Sedan 4D,1.5L I4 DI,Mexico,Fusion SE
589372943478554624,XYA5CFA,4T1NZ1AK5LU046434,Toyota,Camry TRD / XSE,2020,XSE,Sedan 4D,3.5L V6 DI,United States,Camry TRD / XSE
589372943478554624,CST2147,1FTFW1EF8CFB75285,Ford,F150 FX4 / King Ranch / Lariat / Platinum / XL / XLT,2012,-,Super Crew 4D,5.0L V8 SMPI,United States,F150 FX4 / King Ranch / Lariat / Platinum / XL / XLT
589372943478554624,R1941,JN6HD11Y9JW000933,Nissan,Pickup E / SE,1988,-,Short Bed 2D,3.0L V6 MPI,Japan,Pickup E / SE
589372943478554624,BDR3081,1FTYR44U75PA14490,Ford,Ranger Edge / STX / XL / XLT,2005,-,Supercab 4D,3.0L V6 EFI,United States,Ranger Edge / STX / XL / XLT
589372943478554624,BET2200,5FPYK3F74KB001750,Honda,Ridgeline RTL-E,2019,RTL-E,Crew Cab 4D,3.5L V6 DI,United States,Ridgeline RTL-E
589372943478554624,G564GM,1GNWGFFG7G1311062,Chevrolet,Express,2016,-,Sports Van,6.0L V8 OHV 16V FFV,United States,Express
589372943478554624,GNP4061,5FNYF4H95DB031716,Honda,Pilot Touring,2013,-,SUV 4D,3.5L V6 MPI,United States,Pilot Touring
589372943478554624,MAMAMIA,5FNRL5H93DB082540,Honda,Odyssey Touring / Touring Elite,2013,-,Wagon 4D,3.5L V6 MPI,United States,Odyssey Touring / Touring Elite
589372943478554624,TFT8861,1G2AS87A1BL129463,Pontiac,Firebird,1981,-,Coupe 2D,3.8L V6 2BBL,United States,Firebird 
589372943478554624,5WC476,1B3BR65E0RV100350,Dodge,Viper,1994,RT/10,Roadster 2D,8.0L V10 MPI,United States,Viper 
589372943478554624,9F4715,JT2JA81J4R0012732,Toyota,Supra,1994,Sport Roof,Liftback / Sport Roof 2D,3.0L I6 EFI,Japan,Supra 
589372943478554624,02AZVQ,50EA1DAA8NA002432,LUCID MOTORS,Lucid Air,2022,-,,Dual Motor,United States,Lucid Air
589372943478554624,DPC158,2B4FP253XVR398235,Dodge,Caravan,1997,-,Wagon 3D,3.0L V6 MPI,Canada,Caravan 
589372943478554624,CCU8307,JF1ZNAA1XF9701872,Scion,FR-S Base / Release Series 1.0,2015,-,Coupe 2D,2.0L H4 DI,Japan,FR-S Base / Release Series 1.0
589372943478554624,HYK8123,1FTFW1CF3DKE32932,Ford,F150 FX2 / King Ranch / Lariat / Platinum / XL / XLT,2013,-,Super Crew 4D,5.0L V8 SMPI,United States,F150 FX2 / King Ranch / Lariat / Platinum / XL / XLT
589372943478554624,3684PW,WBY2Z2C55FV392467,BMW,i8,2015,-,Coupe 2D,1.5L I3 DI,Germany,i8 
589372943478554624,VBH744,WP0AC2Y16LSA71848,Porsche,Taycan 4S / Turbo / Turbo S,2020,-,Sedan 4D,Electric 300kw / 500kw / 560kw / Perm Magnet Synch AC / Turbo 0,Germany,Taycan 4S / Turbo / Turbo S
589372943478554624,4TJP188,JTJHF10U710221751,Lexus,RX 300,2001,-,SUV 4D,3.0L V6 EFI,Japan,RX 300
589372943478554624,STRMBKR,1FA6P8JZ4L5551062,Ford,Mustang Shelby GT350,2020,-,Coupe 2D,5.2L V8 DI,United States,Mustang Shelby GT350
589372943478554624,EBITDA,WP0AD2A95NS254509,Porsche,911,2022,-,Coupe,3.6-L H-6 DOHC 24V Turbo,Germany,911
589372943478554624,ALM4805,WDDLJ9BB0FA148932,Mercedes-Benz,CLS Class CLS550,2015,-,Sedan 4D,4.7L V8 DI,Germany,CLS Class CLS550
589372943478554624,103902B,1G1YY3188H5124736,Chevrolet,Corvette,1987,-,Convertible 2D,5.7L V8 TBI,United States,Corvette 
589372943478554624,8URV325,SCA666D52HU102669,Rolls-Royce,Dawn,2017,-,Convertible,6.6L 12 Unleaded Gas,United Kingdom,Dawn 
589372943478554624,7ZQD021,W04WJ3N52HG101485,Buick,Cascada Sport Touring,2017,-,Convertible 2D,1.6L I4 DI,United States,Cascada Sport Touring
589372943478554624,8HDA033,SHHFK7H63KU403933,Honda,Civic EX,2019,EX,Hatchback 4D,1.5L I4 DI,United Kingdom,Civic EX
589372943478554624,8RQH553,TRUUC28N5Y1055592,Audi,TT Quattro,2000,-,Coupe 2D,1.8L I4 SFI,Hungary,TT Quattro
589372943478554624,304MRS,JT2AW16J8K0148952,Toyota,MR2 ,1989,Supercharge T-Bar,Coupe 2D,1.6L I4 MPI,Japan,MR2 
589372943478554624,863EJB,JH4NA1180TT000286,Acura,NSX ,1996,-,Coupe 2D,3.0L V6 EFI,Japan,NSX 
589372943478554624,BCN5040,JHLRE4H75AC006574,Honda,CR-V EX-L,2010,-,SUV 4D,2.4L I4 MPI,Japan,CR-V EX-L
589372943478554624,MXA00F,KMHDH4AE6DU809024,Hyundai,Elantra GLS / Limited,2013,-,Sedan 4D,1.8L I4 MPI,South Korea,Elantra GLS / Limited
589372943478554624,CEA3181,JT3GP10V4T0003357,Toyota,RAV4 ,1996,-,Hardtop 4D,2.0L I4 EFI,Japan,RAV4 
589372943478554624,8TPL105,WZ1DB0C02MW035098,Toyota,Supra,,-,,,Germany,Supra
589372943478554624,7XYZ284,JF2SJAWC6HH566353,Subaru,Forester 2.5i Touring,2017,-,SUV 4D,2.5L H4 MPI,Japan,Forester 2.5i Touring
589372943478554624,GZA42C,5YJSA1E28JF246755,Tesla,Model S 100D / 75D / P100D,2018,100D,Sedan,Electric Performance / Standard 0,United States,Model S 100D / 75D / P100D
589372943478554624,BYF4033,1FAHP2E85DG234243,Ford,Taurus SEL,2013,-,Sedan 4D,3.5L V6 SMPI,United States,Taurus SEL
589372943478554624,CVR2735,3VWLA7AJ6FM340976,Volkswagen,Jetta TDI S / TDI SE / TDI SEL,2015,-,Sedan 4D,2.0L I4 DI,Mexico,Jetta TDI S / TDI SE / TDI SEL
589372943478554624,GYDIUP,1FAFP90S16Y400189,Ford,GT ,2006,-,Coupe 2D,5.4L V8 EFI,United States,GT 
589372943478554624,654378C,SA9AB5AC2T1048052,Mclaren Cars,,1996,-,,,United Kingdom,
589372943478554624,IV28TD,WP0CB29873U662375,Porsche,Boxster S,2003,-,Roadster 2D,3.2L H6 MPI,Germany,Boxster S
589372943478554624,BYE401K,1G1Y83D40L5108967,Chevrolet,Corvette 3LT,2020,-,Convertible 2D,6.2L V8 DI,United States,Corvette 3LT
589372943478554624,BB90952,4S4BSAAC2H3373726,Subaru,Outback ,2017,-,Wagon 4D,2.5L H4 MPI,United States,Outback 
589372943478554624,787153,SCBFU7ZA5GC051525,Bentley,Continental GT W12,2016,-,Coupe 2D,6.0L 12 Flex / Unleaded Gas,United Kingdom,Continental GT W12
589372943478554624,CPG8529,1VWCV7A31FC070045,Volkswagen,Passat SEL Premium,2015,-,Sedan 4D,2.0L DI DOHC,United States,Passat SEL Premium
589372943478554624,CTD8828,5GAKRBKD3EJ325187,Buick,Enclave Leather,2014,-,SUV 4D,3.6L V6 DI,United States,Enclave Leather
589372943478554624,8DA5GA,1GNKVGKD2DJ212392,Chevrolet,Traverse LT,2013,-,SUV 4D,3.6L V6 DI,United States,Traverse LT
589372943478554624,CVA47B,2HNYD18845H504586,Acura,MDX Touring,2005,-,SUV 4D,3.5L V6 MPI,Canada,MDX Touring
589372943478554624,GNP4361,3FA6P0HR8DR378264,Ford,Fusion SE,2013,-,Sedan 4D,1.6L I4 DI,Mexico,Fusion SE
589372943478554624,GNP2361,5YFBURHE5FP232321,Toyota,Corolla L / LE / LE Plus / LE Premium / S / S Plus / S Premium,2015,-,Sedan 4D,1.8L I4 EFI,United States,Corolla L / LE / LE Plus / LE Premium / S / S Plus / S Premium
589372943478554624,ZDP327,JT4RN01P1K4009693,Toyota,Pickup DLX,1989,-,Short Bed 2D,2.4L I4 MPI,Japan,Pickup DLX
589372943478554624,TNS593,JN1EV7AP9JM366841,Infiniti,Q50 3.0t Luxe / 3.0t Sport,2018,Luxe,Sedan 4D,3.0L V6 DI,Japan,Q50 3.0t Luxe / 3.0t Sport
589372943478554624,058888,1G1AY8784C5100156,Chevrolet,Corvette,1982,-,Coupe 2D,5.7L V8 CFI,United States,Corvette
589372943478554624,BLC1752,JTMBD31V865020453,Toyota,RAV4 Limited,2006,-,Hardtop 4D,2.4L I4 SFI,Japan,RAV4 Limited
589372943478554624,BLC1572,KMHDN55D52U062173,Hyundai,Elantra GT,2002,-,Hatchback 4D,2.0L I4 MPI,South Korea,Elantra GT
589372943478554624,BLC7152,1FATP8UH5M5108023,Ford,Mustang Eco / Eco Premium,2021,-,Convertible 2D,2.3L I4 DI,United States,Mustang Eco / Eco Premium
589372943478554624,199MWD,JM3KE2DY7F0538863,Mazda,CX-5 Grand Touring,2015,-,SUV 4D,2.5L I4 DI,Japan,CX-5 Grand Touring
589372943478554624,CRCRFT1,1P3EW65G6YV605670,Plymouth,Prowler ,2000,-,Roadster 2D,3.5L V6 MPI,United States,Prowler 
589372943478554624,CM23977,WD4PF0CD0KP087748,Mercedes-Benz,Sprinter 2500 / Sprinter 3500 High Roof,2019,3500 Passenger Van 144-in. WB,Cargo Van / Passenger Van 2D,3.0L V6 DI,Germany,Sprinter 2500 / Sprinter 3500 High Roof
589372943478554624,0JA2WD,3C6TRVDG0KE528369,Ram,2500 ProMaster Van High Ceiling,2019,2500 Tradesman 159-in. WB,Cargo Van 2D,3.6L V6 MPI,Mexico,2500 ProMaster Van High Ceiling
589372943478554624,4TA1AVA,1N4AL11D35N930283,Nissan,Altima Base / S / SL,2005,-,Sedan 4D,2.5L I4 MPI,United States,Altima Base / S / SL
589372943478554624,CNL1920,1GNERKKW5KJ169413,Chevrolet,Traverse Premier,2019,Premier,SUV 4D,3.6L V6 DI,United States,Traverse Premier
589372943478554624,00020CR,5XYPG4A33GG004252,Kia,Sorento L / LX,2016,-,SUV 4D,2.4L I4 DI,United States,Sorento L / LX
589372943478554624,G220HJ,1FDEE3FL7GDC12435,Ford,E350 ,2016,-,Cutaway / Parcel Delivery 2D,5.4L V8 SFI,United States,E350 
589372943478554624,G254JJ,1FTEX1C54KKD06186,Ford,F150 Lariat / XL / XLT,2019,Lariat,Supercab 4D,5.0L V8 SMPI,United States,F150 Lariat / XL / XLT
589372943478554624,38A4C3A,2G1WT57N091113134,Chevrolet,Impala LT,2009,-,Sedan 4D,3.5L V6 MPI,Canada,Impala LT
589372943478554624,CHV4636,1G1RC6S51GU119584,Chevrolet,Volt LT,2016,-,Hatchback 4D,1.5L I4 DI,United States,Volt LT
589372943478554624,0CA4A6A,JTMZD33VX75072891,Toyota,RAV4 ,2007,-,Hardtop 4D,2.4L I4 SFI,Japan,RAV4 
589372943478554624,G362FF,1GNDV23W98D149470,Chevrolet,Uplander LS,2008,-,LWB / Wagon 4D,3.9L V6 SFI,United States,Uplander LS
589372943478554624,G401GM,2C4RDGBG6DR507804,Dodge,Grand Caravan SE,2013,-,Wagon 4D,3.6L V6 MPI,Canada,Grand Caravan SE
589372943478554624,0BA4BJA,5N1AT2MT5HC774066,Nissan,Rogue S / SL / SV,2017,-,SUV 4D,2.5L I4 MPI,United States,Rogue S / SL / SV
589372943478554624,G399EE,1GCHC29U35E218732,Chevrolet,Silverado 2500 Base / LS / LT / W/T,2005,-,Extended Cab 4D,6.0L V8 SFI,United States,Silverado 2500 Base / LS / LT / W/T
589372943478554624,BWL1676,JM1DKDB74M1505178,Mazda,CX-3 Sport,2021,-,SUV 4D,2.0L I4 DI,Japan,CX-3 Sport
589372943478554624,V4T569,JF1VA2V65G9814667,Subaru,WRX STI,2016,STi,Sedan 4D,2.5L H4 DI,Japan,WRX STI
589372943478554624,BSW0531,JF1GF4351YH806055,Subaru,Impreza L,2000,-,Wagon 4D,2.2L H4 MPI,Japan,Impreza L
589372943478554624,CGE7869,5J6YH28635L031100,Honda,Element EX,2005,-,SUV 4D,2.4L I4 MPI,United States,Element EX
589372943478554624,JIK365,JM3KFADM7L0840878,Mazda,CX-5 Grand Touring,2020,Grand Touring,SUV 4D,2.5L I4 DI,Japan,CX-5 Grand Touring
589372943478554624,CCF1003,19XFB2F52EE228437,Honda,Civic LX,2014,-,Sedan 4D,1.8L I4 MPI,United States,Civic LX
589372943478554624,PNA4CCA,1MEHM42W09G615652,Mercury,Sable Premier,2009,-,Sedan 4D,3.5L V6 24V / SFI,United States,Sable Premier
589372943478554624,AXC1678,WMEEJ31XX8K175678,smart,fortwo Passion / Pure,2008,-,Coupe 2D,1.0L I3 MPI,Germany,fortwo Passion / Pure
589372943478554624,CMT5399,1HGCR2F57FA076207,Honda,Accord Sport,2015,-,Sedan 4D,2.4L I4 DI,United States,Accord Sport
589372943478554624,TFA5AKA,3N1AB7AP7JY342980,Nissan,Sentra S / SL / SR / SV,2018,S,Sedan 4D,1.8L I4 SMPI,Mexico,Sentra S / SL / SR / SV
589372943478554624,RF21993,KMHTC6AE1GU256891,Hyundai,Veloster Turbo / Turbo R-Spec / Turbo Rally,2016,-,Coupe 2D,1.6L I4 DI,South Korea,Veloster Turbo / Turbo R-Spec / Turbo Rally
589372943478554624,CBB5786,1C3CDZAB8EN195916,Dodge,Avenger SE,2014,-,Sedan 4D,2.4L I4 SFI,United States,Avenger SE
589372943478554624,CRA0690,JTMEWRFV6KJ023386,Toyota,RAV4 Hybrid XSE,2019,XSE,SUV 4D,2.5L I4 EFI,Japan,RAV4 Hybrid XSE
589372943478554624,BWT8538,KNDJT2A5XD7753808,Kia,Soul ,2013,-,Wagon 4D,1.6L I4 MPI,South Korea,Soul 
589372943478554624,BWV9509,1G1JC52F437289267,Chevrolet,Cavalier ,2003,-,Sedan 4D,2.2L I4 MPI,United States,Cavalier 
589372943478554624,CLA25E,JA4J3UA85NZ026436,Mitsubishi,Outlander SE,2022,-,SUV 4D,2.5L I4 DI,Japan,Outlander SE
589372943478554624,BMM4853,JN8AS58T28W007846,Nissan,Rogue S / SL,2008,-,SUV 4D,2.5L I4 MPI,Japan,Rogue S / SL
589372943478554624,WZA64C,1C4HJXFGXLW191814,Jeep,Wrangler Unlimited Rubicon,2020,Unlimited Rubicon,SUV 4D,3.6L V6 MPI,United States,Wrangler Unlimited Rubicon
